year,date,name,acres,latitude,longitude,burn_type,treatment_type,county_unit_ID,county,source,escaped
2018,2018-01-19,,0.25,39.845718,-121.702139,Broadcast,,,Butte,PFIRS,FALSE
2018,2018-03-01,,0.25,38.888328,-120.925108,UNK,,,El Dorado,PFIRS,FALSE
2018,2018-03-22,,0.25,39.28086,-120.11991,Hand Pile,,,Placer,PFIRS,FALSE
2018,2018-05-04,,0.25,38.776637,-120.294457,Hand Pile,,,El Dorado,PFIRS,FALSE
2018,2018-05-05,,0.25,38.776637,-120.294457,UNK,,,El Dorado,PFIRS,FALSE
2018,2018-11-27,,0.25,39.472,-120.101,Hand Pile,,,Nevada,PFIRS,FALSE
2018,2018-11-28,,0.25,39.334,-120.168,Hand Pile,,,Nevada,PFIRS,FALSE
2018,2018-11-28,,0.25,39.376,-120.18,Hand Pile,,,Nevada,PFIRS,FALSE
2018,2018-11-28,,0.25,39.406,-120.194,Hand Pile,,,Nevada,PFIRS,FALSE
2018,2018-12-04,,0.25,39.050426,-120.120311,Machine Pile,,,El Dorado,PFIRS,FALSE
2018,2018-12-04,,0.25,38.955,-120.955,Hand Pile,,,Placer,PFIRS,FALSE
2018,2018-12-05,,0.25,38.955,-120.955,Hand Pile,,,Placer,PFIRS,FALSE
2018,2018-12-08,,0.25,39.845718,-121.702139,Hand Pile,,,Butte,PFIRS,FALSE
2018,2018-12-18,,0.25,38.955,-120.955,Hand Pile,,,Placer,PFIRS,FALSE
2018,2018-12-19,,0.25,38.904,-121.056,Hand Pile,,,Placer,PFIRS,FALSE
2018,2018-12-19,,0.25,38.955,-120.955,Hand Pile,,,Placer,PFIRS,FALSE
2018,2018-12-21,,0.25,38.955,-120.955,Hand Pile,,,Placer,PFIRS,FALSE
2019,2019-01-04,,0.25,39.845718,-121.702139,Hand Pile,,,Butte,PFIRS,FALSE
2019,2019-01-30,,0.25,38.938,-121.008,Hand Pile,,,Placer,PFIRS,FALSE
2019,2019-02-06,,0.25,38.955,-120.955,Hand Pile,,,Placer,PFIRS,FALSE
2019,2019-02-13,,0.25,38.878,-121.034,Hand Pile,,,El Dorado,PFIRS,FALSE
2019,2019-05-10,,0.25,39.08232,-120.93693,Hand Pile,,,Placer,PFIRS,FALSE
2019,2019-05-13,,0.25,39.08232,-120.93693,Hand Pile,,,Placer,PFIRS,FALSE
